artist,song,genre
A$AP Rocky,F**kin' Problems,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Shabazz Palaces,Swerve... the reeping of all that is worthwhile (Noir not withstanding),"['afrofuturism', 'alternative hip hop', 'cascadia psych', 'escape room', 'experimental hip hop', 'psychedelic hip hop', 'seattle hip hop']"
Cults,Never Saw The Point,"['experimental pop', 'indie surf']"
Azealia Banks,212,"['dance pop', 'escape room', 'hip house', 'lgbtq+ hip hop', 'pop', 'trap queen']"
Angel Olsen,Forgiven/Forgotten,"['alternative americana', 'art pop', 'dream pop', 'indie pop', 'indie rock']"
LCD Soundsystem,All My Friends,"['alternative dance', 'alternative rock', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']"
Future,Lay Up,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Kanye West,Father Stretch My Hands Pt. 1,"['chicago rap', 'rap']"
Stormzy,Big For Your Boots,"['grime', 'uk hip hop']"
Skepta,No Security,"['birmingham grime', 'grime', 'instrumental grime', 'rap']"
Saskilla,Fam,need_to_add
Stormzy,Mr Skeng,"['grime', 'uk hip hop']"
Bugzy Malone,Beauty and the Beast,"['grime', 'manchester hip hop', 'uk hip hop']"
Lethal Bizzle,I Win,"['grime', 'uk hip hop']"
J HUS,Plottin,"['afroswing', 'grime', 'uk hip hop']"
Bugzy Malone,M.E.N,"['grime', 'manchester hip hop', 'uk hip hop']"
Stormzy,Cold,"['grime', 'uk hip hop']"
Jaykae,Toothache,"['birmingham grime', 'birmingham hip hop', 'grime', 'uk alternative hip hop', 'uk hip hop']"
Chip,Coward,['ohio hip hop']
Kano,3 Wheel-ups (feat. Wiley & Giggs),"['chicago rap', 'rap']"
President T,T On the Wing,['grime']
Stormzy,Bad Boys (feat. Ghetts and J Hus),"['grime', 'uk hip hop']"
Dave,Thiago Silva,"['jam band', 'neo mellow', 'pop rock']"
Bonkaz,And Dat (Ft. Stormzy),['uk hip hop']
Wiley,6 In The Morning,need_to_add
Drake,Skepta Interlude,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Jme,Man Don't Care,"['grime', 'instrumental grime', 'uk hip hop']"
AJ Tracey,Luke Cage,"['grime', 'uk hip hop', 'ukg revival']"
Skepta,Shutdown,"['birmingham grime', 'grime', 'instrumental grime', 'rap']"
Zac Brown Band,My Old Man,"['contemporary country', 'country', 'country road', 'modern country rock']"
Chris Young,Losing Sleep,"['contemporary country', 'country', 'country road', 'modern country rock']"
Brett Young,Sleep Without You,"['contemporary country', 'country']"
Kelsea Ballerini,Yeah Boy,"['contemporary country', 'country', 'pop']"
Thomas Rhett,Craving You,"['contemporary country', 'country', 'country road', 'modern country rock']"
Kip Moore,More Girls Like You,"['contemporary country', 'country', 'country road', 'modern country rock']"
Lady Antebellum,Heart Break,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']"
Charlie Worsham,Cut Your Groove,['modern country rock']
Dierks Bentley,Black,"['contemporary country', 'country', 'country road']"
Brantley Gilbert,The Weekend,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Jillian Jacqueline,Reasons,"['contemporary country', 'country pop']"
Dustin Lynch,Small Town Boy,"['contemporary country', 'country', 'country road', 'modern country rock']"
Rascal Flatts,Yours If You Want It,"['contemporary country', 'country', 'country road']"
Zac Brown Band,Roots,"['contemporary country', 'country', 'country road', 'modern country rock']"
Parmalee,Sunday Morning,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern uplift']"
Luke Combs,Hurricane,"['contemporary country', 'country']"
Michael Ray,Think A Little Less,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Tim McGraw,Speak to a Girl,"['contemporary country', 'country', 'country road']"
Chris Bandi,Man Enough Now,"['contemporary country', 'country pop']"
Darius Rucker,If I Told You,"['black americana', 'contemporary country', 'country', 'country road']"
Little Big Town,Happy People,"['contemporary country', 'country', 'country dawn', 'country road']"
Devin Dawson,All On Me,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
Brett Eldredge,Somethin' I'm Good At,"['contemporary country', 'country', 'country road', 'modern country rock']"
Maren Morris,I Could Use a Love Song,"['contemporary country', 'country', 'texas country']"
Various Artists,Zac Brown Band - Hot Country,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Zac Brown Band,Trying To Drive,"['contemporary country', 'country', 'country road', 'modern country rock']"
Florida Georgia Line,"God, Your Mama, And Me","['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Zac Brown Band,Real Thing,"['contemporary country', 'country', 'country road', 'modern country rock']"
Jason Aldean,They Don't Know,"['contemporary country', 'country', 'country road']"
Blake Shelton,Every Time I Hear That Song,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Kane Brown,What Ifs,"['black americana', 'contemporary country', 'country road']"
Chris Lane,For Her,"['contemporary country', 'country', 'country road', 'modern country rock']"
Brooke Eden,Act Like You Don't,"['contemporary country', 'country pop']"
Brett Young,In Case You Didn't Know,"['contemporary country', 'country']"
Dylan Schneider,Two Black X's,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Lady Antebellum,You Look Good,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']"
Ryan Kinder,Close,['country pop']
Logan Mize,Ain't Always Pretty,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Ryan Hurd,Love in a Bar,"['contemporary country', 'country']"
Zac Brown Band,Family Table,"['contemporary country', 'country', 'country road', 'modern country rock']"
Jason Aldean,Any Ol' Barstool,"['contemporary country', 'country', 'country road']"
Jon Pardi,Dirt On My Boots,"['contemporary country', 'country', 'country road', 'modern country rock']"
Adam Craig,Just a Phase,"['country pop', 'modern country rock']"
Sam Hunt,Body Like A Back Road,"['contemporary country', 'country pop']"
Dan + Shay,How Not To,"['contemporary country', 'country', 'pop']"
Miranda Lambert,Tin Man,"['contemporary country', 'country', 'country dawn', 'country road']"
Russell Dickerson,Blue Tacoma,"['contemporary country', 'country', 'country road', 'modern country rock']"
Florida Georgia Line,May We All,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Brad Paisley,Last Time for Everything,"['contemporary country', 'country', 'country road']"
Jackie Lee,Getting Over You,need_to_add
Cole Swindell,Flatliner (feat. Dierks Bentley),"['contemporary country', 'country', 'country road', 'modern country rock']"
Canaan Smith,Like You That Way,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Josh Turner,Hometown Girl,"['contemporary country', 'country', 'country road', 'modern country rock']"
Thomas Rhett,Star Of The Show,"['contemporary country', 'country', 'country road', 'modern country rock']"
Chris Stapleton,Either Way,"['contemporary country', 'outlaw country']"
Old Dominion,No Such Thing as a Broken Heart,"['contemporary country', 'country', 'country road']"
Trent Harmon,There’s A Girl,['arkansas country']
Keith Urban,The Fighter,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']"
Luis Fonsi,Despacito - Remix,"['latin', 'latin pop', 'puerto rican pop']"
Maluma,Felices los 4,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Enrique Iglesias,SUBEME LA RADIO,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
Danny Ocean,Me Rehúso,"['latin', 'pop venezolano', 'reggaeton', 'trap latino']"
Nicky Jam,El Amante,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Wisin,Escápate Conmigo,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Chris Jeday,Ahora Dice,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
Shakira,Chantaje,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
Pitbull,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
J Balvin,Sigo Extrañándote,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Zion & Lennox,Otra Vez (feat. J Balvin),"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Daddy Yankee,La Rompe Corazones,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Anuel Aa,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']"
Luis Fonsi,Despacito (Featuring Daddy Yankee),"['latin', 'latin pop', 'puerto rican pop']"
CNCO,Reggaetón Lento (Bailemos),"['boy band', 'latin', 'latin pop', 'reggaeton']"
CNCO,Hey DJ,"['boy band', 'latin', 'latin pop', 'reggaeton']"
Piso 21,Me Llamas (feat. Maluma) - Remix,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Shakira,Me Enamoré,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
Ozuna,Tu Foto,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
Ricky Martin,Vente Pa' Ca,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']"
J Balvin,Safari,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Sebastian Yatra,Alguien Robo,"['colombian pop', 'latin', 'reggaeton colombiano']"
Wisin,Vacaciones,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Don Omar,Te Quiero Pa´Mi,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']"
IAmChino,Ay Mi Dios,"['cubaton', 'reggaeton']"
Sebastian Yatra,Traicionera,"['colombian pop', 'latin', 'reggaeton colombiano']"
Nicky Jam,Si Tú La Ves,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Cali Y El Dandee,Lumbra,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Carlos Vives,La Bicicleta,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
Nacho,Bailame,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']"
Ozuna,Dile Que Tu Me Quieres,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
Prince Royce,Deja vu,"['bachata', 'latin', 'latin hip hop']"
Alejandro Fernandez,Sé Que Te Duele,"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']"
Maluma,Borro Cassette,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Enrique Iglesias,DUELE EL CORAZON,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
Chino & Nacho,Andas En Mi Cabeza,"['electro latino', 'latin', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']"
Farruko,Chillax,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Nicky Jam,Hasta el Amanecer,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Xantos,Bailame Despacio,['reggaeton']
Daddy Yankee,Shaky Shaky,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Piso 21,Besándote,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Carlos Baute,Ando buscando (feat. Piso 21),"['latin', 'latin pop', 'spanish pop']"
Daddy Yankee,Hula Hoop,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Reik,Qué Gano Olvidándote - Versión Urbana,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
Reik,Ya Me Enteré (feat. Nicky Jam) - Urban Version,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
Zion & Lennox,Mi Tesoro (feat. Nicky Jam),"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Natalia Lafourcade,Tú Sí Sabes Quererme,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'veracruz indie']"
Cosculluela,Si Me Dices Que Si (feat. Nicky Jam),"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
Juanes,Fuego,"['colombian pop', 'latin', 'latin pop', 'mexican pop', 'rock en espanol', 'tropical']"
Carlos Vives,Al Filo de Tu Amor,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
Fall Out Boy,Young And Menace,"['emo', 'modern rock', 'rock']"
Fall Out Boy,"Sugar, We're Goin Down","['emo', 'modern rock', 'rock']"
Fall Out Boy,Centuries,"['emo', 'modern rock', 'rock']"
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),"['emo', 'modern rock', 'rock']"
Fall Out Boy,Immortals,"['emo', 'modern rock', 'rock']"
Fall Out Boy,Uma Thurman,"['emo', 'modern rock', 'rock']"
Fall Out Boy,"Dance, Dance","['emo', 'modern rock', 'rock']"
Fall Out Boy,"This Ain't A Scene, It's An Arms Race","['emo', 'modern rock', 'rock']"
Selena Gomez,Bad Liar,"['dance pop', 'pop', 'post-teen pop']"
Luis Fonsi,Despacito - Remix,"['latin', 'latin pop', 'puerto rican pop']"
Imagine Dragons,Thunder,"['modern rock', 'rock']"
Charlie Puth,Attention,"['dance pop', 'pop', 'viral pop']"
Shawn Mendes,There's Nothing Holdin' Me Back,"['canadian pop', 'pop', 'viral pop']"
Cashmere Cat,Quit (feat. Ariana Grande),"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']"
Lady Gaga,The Cure,"['art pop', 'dance pop', 'pop']"
Kygo,First Time,"['edm', 'pop', 'pop dance', 'tropical house']"
OneRepublic,No Vacancy,"['dance pop', 'piano rock', 'pop', 'pop rock']"
Hailee Steinfeld,Most Girls,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
Miley Cyrus,Malibu,"['dance pop', 'pop', 'post-teen pop']"
Zedd,Stay (with Alessia Cara),"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Logic,1-800-273-8255,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,"['alt z', 'dark pop', 'pop', 'post-teen pop']"
Halsey,Now Or Never,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']"
Cheat Codes,No Promises (feat. Demi Lovato),"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house', 'uk pop']"
Niall Horan,Slow Hands,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
Bebe Rexha,Bad Bitch (feat. Ty Dolla $ign),"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
G-Eazy,Good Life (with G-Eazy & Kehlani),"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
Lord Huron,The Night We Met,"['indie folk', 'stomp and holler']"
Calvin Harris,Rollin,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']"
Vice,Obsession (feat. Jon Bellion),"['mariachi', 'ranchera']"
Kiiara,Whippin (feat. Felix Snow),"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop']"
Clean Bandit,Symphony,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky', 'uk pop']"
The Chainsmokers,Break Up Every Night,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
French Montana,Unforgettable,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Kendrick Lamar,HUMBLE.,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Blackbear,do re mi,"['electropop', 'pop', 'pop rap']"
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
Imagine Dragons,Whatever It Takes,"['modern rock', 'rock']"
Little Mix,Touch,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Future,Selfish,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Kygo,It Ain’t Me (with Selena Gomez),"['edm', 'pop', 'pop dance', 'tropical house']"
Jonas Blue,Mama,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk pop']"
The Chainsmokers,The One,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
MØ,Nights With You,['contemporary country']
Zara Larsson,TG4M,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']"
Future,Mask Off,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Katy Perry,Bon Appétit,"['dance pop', 'pop', 'post-teen pop']"
Harry Styles,Sign of the Times,['pop']
Machine Gun Kelly,At My Best (feat. Hailee Steinfeld),['ohio hip hop']
Julia Michaels,Issues,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
Bruno Mars,That's What I Like,"['dance pop', 'pop']"
JP Cooper,September Song,"['dance pop', 'neo mellow', 'pop', 'tropical house', 'uk pop']"
ZAYN,Still Got Time,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
Khalid,Location,"['pop', 'pop r&b']"
Martin Garrix,Scared to Be Lonely,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Drake,Passionfruit,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Ed Sheeran,Shape of You,"['pop', 'uk pop']"
Flo Rida,Wild Ones (feat. Sia),"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Nicki Minaj,Starships,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']"
Lil Wayne,Lollipop,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Pitbull,Time of Our Lives,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),"['dance pop', 'pop rap']"
The Wanted,Glad You Came,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']"
Taio Cruz,Dynamite,"['dance pop', 'pop', 'pop rap']"
JAY Z,Clique,"['east coast hip hop', 'hip hop', 'rap']"
B.o.B,Airplanes (feat. Hayley Williams of Paramore),"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']"
Jason Derulo,Trumpets,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
T.I.,Live Your Life - feat. Rihanna,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Far East Movement,Like A G6,"['asian american hip hop', 'dance pop', 'pop rap']"
Pitbull,Feel This Moment,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Pitbull,Timber,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
MKTO,Classic,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']"
David Guetta,Titanium (feat. Sia),"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Katy Perry,E.T. - feat. Kanye West,"['dance pop', 'pop', 'post-teen pop']"
Flo Rida,GDFR (feat. Sage The Gemini & Lookas),"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)","['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Eminem,The Monster,"['detroit hip hop', 'hip hop', 'rap']"
Kesha,TiK ToK,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
Selena Gomez & The Scene,Love You Like A Love Song,"['dance pop', 'pop', 'post-teen pop']"
Swedish House Mafia,Don't You Worry Child (Radio Edit) [feat. John Martin],"['edm', 'pop', 'pop dance', 'progressive electro house']"
David Guetta,Sexy Bitch (feat. Akon) - Featuring Akon;explicit,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Natalie La Rose,Somebody,need_to_add
Maroon 5,Maps,['pop']
Nico & Vinz,Am I Wrong,['pop rap']
Rihanna,Umbrella,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']"
OneRepublic,Counting Stars,"['dance pop', 'piano rock', 'pop', 'pop rock']"
DJ Snake,Turn Down for What,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Daft Punk,Get Lucky,"['electro', 'filter house']"
The Killers,A Dustland Fairytale,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'pop rock', 'rock']"
Flo Rida,My House,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Drake,Best I Ever Had,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Shawn Mendes,Stitches,"['canadian pop', 'pop', 'viral pop']"
Rita Ora,I Will Never Let You Down,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']"
Arctic Monkeys,Do I Wanna Know?,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Benny Benassi,Cinema - Skrillex Remix,"['edm', 'electro house', 'pop dance']"
Drake,Take Care,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Sara Bareilles,Love Song,"['acoustic pop', 'dance pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']"
Robin Thicke,Blurred Lines,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Sean Kingston,Beautiful Girls - Radio Disney Version,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']"
Gwen Stefani,Cool,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
Hollyn,Can’t Live Without,"['ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
Kim Walker-Smith,Glimpse,"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
Matthew West,Broken Things,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
MercyMe,Even If,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'worship']"
Chris Tomlin,Home,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Sarah Reeves,Nowhere,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
Tauren Wells,Hills and Valleys (The Valleys Version),"['ccm', 'christian music', 'worship']"
Zach Williams,Chain Breaker,['ccm']
Natalie Grant,Clean,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Citizen Way,I Will,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
Ryan Stevenson,The Gospel,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'worship']"
Kim Walker-Smith,Throne Room,"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
Switchfoot,I Won't Let You Go - Radio Version,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'neo mellow', 'pop rock', 'worship']"
Mandisa,Unfinished,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Zach Williams,Old Church Choir,['ccm']
Crowder,Forgiven,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Love and Theft,Love Wins,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Tenth Avenue North,I Have This Hope,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Hollyn,In Awe,"['ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
Casting Crowns,Oh My Soul,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Aaron Shust,You Redeem - Studio Version,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']"
Hunter Hayes,Amen,"['contemporary country', 'country', 'country road', 'modern country rock', 'pop', 'post-teen pop']"
Colton Dixon,Brand New Life,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
Hillsong United,Oceans (Where Feet May Fail) - Radio Version,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
for KING & COUNTRY,O God Forgive Us,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']"
North Point InsideOut,Death Was Arrested,"['anthem worship', 'ccm', 'world worship']"
Reba McEntire,Back To God,"['contemporary country', 'country', 'country dawn', 'oklahoma country']"
Hillsong United,Say The Word,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Kim Walker-Smith,On My Side,"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
Grayson Reed,Bloom,"['anthem worship', 'christian pop']"
Third Day,Revival,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Cody Carnes,Hold It All,"['anthem worship', 'ccm', 'world worship', 'worship']"
MercyMe,Lifer,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'worship']"
Mallary Hope,Now,['country dawn']
The Afters,Battles,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']"
Mandisa,Prove Me Wrong,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Holly Starr,Run the Race,"['ccm', 'cedm', 'christian pop']"
Jamie Grace,The Happy Song,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Ellie Holcomb,Find You Here,"['ccm', 'indiecoustica']"
Derek Minor,Change The World (feat. Hollyn),"['christian hip hop', 'christian trap']"
Kim Walker-Smith,Rise,"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
for KING & COUNTRY,Priceless,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']"
Jesus Culture,Alive In You - Studio Version,"['ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
Hillsong Worship,What A Beautiful Name,"['ccm', 'christian music', 'world worship', 'worship']"
Jordan Feliz,Beloved,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'christian pop', 'worship']"
Elevation Worship,There Is a Cloud,"['ccm', 'christian music', 'worship']"
Danny Gokey,Rise,"['ccm', 'idol']"
Jasmine Murray,Fearless,['christian pop']
Matt Hammitt,Tears,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop']"
Sidewalk Prophets,To Live Is Christ,"['anthem worship', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'worship']"
Britt Nicole,Be The Change,"['ccm', 'cedm', 'christian alternative rock', 'christian music', 'worship']"
Joshua Micah,Parachute,"['anthem worship', 'ccm', 'christian pop']"
Hillsong Young & Free,Where You Are (Reimagined),"['ccm', 'christian music', 'world worship', 'worship']"
Kari Jobe,The Cause Of Christ,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Natalie Grant,King Of The World,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Lauren Daigle,Come Alive (Dry Bones),"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Passion,Even So Come - Radio Version/Live,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Matt Redman,"10,000 Reasons (Bless the Lord) [Radio Version]","['ccm', 'christian alternative rock', 'christian music', 'uk worship', 'world worship', 'worship']"
Steven Curtis Chapman,More Than Conquerors (Radio Version),"['ccm', 'christian alternative rock', 'christian music', 'worship']"
NEEDTOBREATHE,TESTIFY,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop', 'indiecoustica', 'neo mellow', 'worship']"
one sonic society,Great Are You Lord (Radio Mix),"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'world worship', 'worship']"
Passion,Worthy Of Your Name - Studio,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
